old_type,new_type,main_category,notes
Adult Entertainment Store,Adult Retail Store,Adult-oriented Services,
Adult Video Rental,Adult Retail Store,Adult-oriented Services,
Body Rub Parlour / Body Painting / Model Studio,Adult Services,Adult-oriented Services,
Exotic Dancer,Adult Services,Adult-oriented Services,
Social Escort,Adult Services,Adult-oriented Services,
Social Escort Services,Adult Services,Adult-oriented Services,
Urban Farm Class A,Urban Farm Class A Urban Farm Class B,Agriculture,
Urban Farm Class B,Urban Farm Class A Urban Farm Class B,Agriculture,
Model Agency,Artist Agency,"Arts, Culture and Creative Industries",
Talent Agency,Artist Agency,"Arts, Culture and Creative Industries",
Booking Agency,Artist Agency,"Arts, Culture and Creative Industries",
Song Writer,Artist,"Arts, Culture and Creative Industries",
Writer / Editor,Artist,"Arts, Culture and Creative Industries",
Actor / Stunt Person,Artist,"Arts, Culture and Creative Industries",
Children’s Entertainment,Artist,"Arts, Culture and Creative Industries",
Face Painting,Artist,"Arts, Culture and Creative Industries",
Composer,Artist,"Arts, Culture and Creative Industries",
Disc Jockey,Artist,"Arts, Culture and Creative Industries",
Entertainment Services (Other),Artist,"Arts, Culture and Creative Industries",
Homecraft,Artist,"Arts, Culture and Creative Industries",
Artist,Artist,"Arts, Culture and Creative Industries",
Photographer,Artist,"Arts, Culture and Creative Industries",
Artist Studio,Artist Studio,"Arts, Culture and Creative Industries",
Artist Live/ Work Studio,Artist Studio,"Arts, Culture and Creative Industries",
Performing Arts Studio,Artist Studio,"Arts, Culture and Creative Industries",
Studio (Other),Artist Studio,"Arts, Culture and Creative Industries",
Interior Designer,Design Services,"Arts, Culture and Creative Industries",
Interior Decorator,Design Services,"Arts, Culture and Creative Industries",
Graphic Artist,Design Services,"Arts, Culture and Creative Industries",
Design Company,Design Services,"Arts, Culture and Creative Industries",
,Creative Products Manufacturer,"Arts, Culture and Creative Industries",N/A – new proposed category to align with the Zoning and Development By-law
Assembly Hall,Hall / Spectator Sports Venue,"Arts, Culture and Creative Industries",
Dance Hall,Hall / Spectator Sports Venue,"Arts, Culture and Creative Industries",
Recording Studio,"Photography, Production and Rehearsal Studio","Arts, Culture and Creative Industries",
Portrait / Photography Studio,"Photography, Production and Rehearsal Studio","Arts, Culture and Creative Industries",
Production (Other),"Photography, Production and Rehearsal Studio","Arts, Culture and Creative Industries",
Film Production,"Photography, Production and Rehearsal Studio","Arts, Culture and Creative Industries",
Music Production,"Photography, Production and Rehearsal Studio","Arts, Culture and Creative Industries",
TV Production,"Photography, Production and Rehearsal Studio","Arts, Culture and Creative Industries",
Video Production,"Photography, Production and Rehearsal Studio","Arts, Culture and Creative Industries",
Radio Station,"Photography, Production and Rehearsal Studio","Arts, Culture and Creative Industries",
Recording / Duplication,"Photography, Production and Rehearsal Studio","Arts, Culture and Creative Industries",
Entertainment Services (Producer),"Photography, Production and Rehearsal Studio","Arts, Culture and Creative Industries",
Educational Services (Film),"Photography, Production and Rehearsal Studio","Arts, Culture and Creative Industries",
TV Station,"Photography, Production and Rehearsal Studio","Arts, Culture and Creative Industries",
Desk-top Publishing,Publishing and Journalism Services,"Arts, Culture and Creative Industries",
Press / Media / Reporter,Publishing and Journalism Services,"Arts, Culture and Creative Industries",
Publisher,Publishing and Journalism Services,"Arts, Culture and Creative Industries",
Aquarium,Exhibition Centre,"Arts, Culture and Creative Industries",
Theatre (Live),Theatre,"Arts, Culture and Creative Industries",
Theatre (Neighbourhood),Theatre,"Arts, Culture and Creative Industries",
Theatre (Adult),Theatre,"Arts, Culture and Creative Industries",
Theatre (Other),Theatre,"Arts, Culture and Creative Industries",
Electrical Temporary Filming,Temporary Filming Company,"Arts, Culture and Creative Industries",
Contractor - Framing,General Contractor,Construction,
Contractor – Alteration and Repair,General Contractor,Construction,
Contractor - Building,General Contractor,Construction,
Contractor - Other,General Contractor,Construction,
Contractor - Special Trades - Signs,General Contractor,Construction,
Contractor - Special Trades - Glazier,General Contractor,Construction,
Contractor - Special Trades - Stucco,General Contractor,Construction,
Contractor - Special Trades - Installation,General Contractor,Construction,
Contractor - Special Trades - Masonry,General Contractor,Construction,
Contractor - Special Trades - Insulation,General Contractor,Construction,
Contractor - Special Trades - Air Conditioning,General Contractor,Construction,
Contractor - Special Trades - Refrigeration,General Contractor,Construction,
Contractor - Special Trades – Tiler,General Contractor,Construction,
Contractor - Special Trades - Flooring,General Contractor,Construction,
Contractor - Special Trades - Irrigation,General Contractor,Construction,
Contractor - Special Trades - Other,General Contractor,Construction,
Contractor - Special Trades - Demolition / Excavation,General Contractor,Construction,
Equipment Operator,General Contractor,Construction,
Roofer - Residential Building,General Contractor,Construction,
Roofer - Other,General Contractor,Construction,
Roofer - Commercial Building,General Contractor,Construction,
Painter,General Contractor,Construction,
Landscape Gardener,General Contractor,Construction,
Plant/Tree Maintenance,General Contractor,Construction,
Plant/Tree Removal,General Contractor,Construction,
Development Company,General Contractor,Construction,
Project Management,General Contractor,Construction,
Electrical - Security Alarm Installation,Trade Contractor,Construction,
Sprinkler and Gas Contractor,Trade Contractor,Construction,
Sprinkler Contractor,Trade Contractor,Construction,
Gas Contractor,Trade Contractor,Construction,
Plumber,Trade Contractor,Construction,
Plumber and Gas Contractor,Trade Contractor,Construction,
Plumber and Sprinkler Contractor,Trade Contractor,Construction,
"Plumber, Sprinkler and Gas Contractor",Trade Contractor,Construction,
Electrical Contractor,Trade Contractor,Construction,
Computer Services (Animation),Digital Entertainment and Interactive Technology,Digital Entertainment and Information Communication Technology,
Computer Services (Graphics),Digital Entertainment and Interactive Technology,Digital Entertainment and Information Communication Technology,
Computer Services (Design),Digital Entertainment and Interactive Technology,Digital Entertainment and Information Communication Technology,
Computer Services (Internet),Digital Entertainment and Interactive Technology,Digital Entertainment and Information Communication Technology,
Computer Services (Software),Information Communication Technology,Digital Entertainment and Information Communication Technology,
Computer Services (Analysis),Information Communication Technology,Digital Entertainment and Information Communication Technology,
Computer Services (Programming),Information Communication Technology,Digital Entertainment and Information Communication Technology,
Computer Services (Network),Information Communication Technology,Digital Entertainment and Information Communication Technology,
Computer Services (Information),Information Communication Technology,Digital Entertainment and Information Communication Technology,
Computer Services (Integration),Information Communication Technology,Digital Entertainment and Information Communication Technology,
Computer Services (Data Processing),Information Communication Technology,Digital Entertainment and Information Communication Technology,
Computer Services (Database Management),Information Communication Technology,Digital Entertainment and Information Communication Technology,
Computer Services (Other),Information Communication Technology,Digital Entertainment and Information Communication Technology,
